ground,season,scorecard_no,countries,runs,overs,innings_x,team1_inn1,team2_inn1,first_inn_lead_of_team1,team1_inn2,team2_inn2,team1_inn1_over,team2_inn1_over,total_day,bat_first,field_first,innings_y,team_no,country_won,won
Melbourne,1903/04,Test # 79,England,315,152.5,1st INNINGS,315,0,193,103,0,152.5,0,5,England,0,1st INNINGS,2,England,1
Melbourne,1903/04,Test # 79,Australia,122,30.2,1st INNINGS,0,122,-193,0,111,0,30.2,5,England,0,1st INNINGS,1,England,0
Adelaide,1903/04,Test # 80,Australia,388,106.1,1st INNINGS,388,0,143,351,0,106.1,0,6,Australia,0,1st INNINGS,1,Australia,1
Adelaide,1903/04,Test # 80,England,245,102,1st INNINGS,0,245,-143,0,278,0,102,6,Australia,0,1st INNINGS,2,Australia,0
Sydney,1903/04,Test # 81,England,249,114.1,1st INNINGS,249,0,118,210,0,114.1,0,7,England,0,1st INNINGS,2,England,1
Sydney,1903/04,Test # 81,Australia,131,51.3,1st INNINGS,0,131,-118,0,171,0,51.3,7,England,0,1st INNINGS,1,England,0
Melbourne,1903/04,Test # 82,Australia,247,82.1,1st INNINGS,247,0,186,133,0,82.1,0,4,Australia,0,1st INNINGS,1,Australia,1
Melbourne,1903/04,Test # 82,England,61,31.2,1st INNINGS,0,61,-186,0,101,0,31.2,4,Australia,0,1st INNINGS,2,Australia,0
Trent,1905,Test # 83,England,196,71.3,1st INNINGS,196,0,-25,426,0,71.3,0,3,England,0,1st INNINGS,1,England,1
Trent,1905,Test # 83,Australia,221,63.5,1st INNINGS,0,221,25,0,188,0,63.5,3,England,0,1st INNINGS,2,England,0
"Lord's,",1905,Test # 84,England,282,140,1st INNINGS,282,0,101,151,0,140,0,3,England,0,1st INNINGS,1,drawn,2
"Lord's,",1905,Test # 84,Australia,181,50.1,1st INNINGS,0,181,-101,0,0,0,50.1,3,England,0,1st INNINGS,2,drawn,2
"Headingley,",1905,Test # 85,England,301,128.3,1st INNINGS,301,0,106,295,0,128.3,0,3,England,0,1st INNINGS,1,drawn,2
"Headingley,",1905,Test # 85,Australia,195,53.2,1st INNINGS,0,195,-106,0,224,0,53.2,3,England,0,1st INNINGS,2,drawn,2
Old,1905,Test # 86,England,446,157.5,1st INNINGS,446,0,249,169,0,157.5,0,3,England,0,1st INNINGS,1,England,1
Old,1905,Test # 86,Australia,197,45.5,1st INNINGS,0,197,-249,0,0,0,45.5,3,England,0,1st INNINGS,2,England,0
Kennington,1905,Test # 87,England,430,130,1st INNINGS,430,0,67,261,0,130,0,3,England,0,1st INNINGS,1,drawn,2
Kennington,1905,Test # 87,Australia,363,93.1,1st INNINGS,0,363,-67,0,124,0,93.1,3,England,0,1st INNINGS,2,drawn,2
Old,1905/06,Test # 88,England,184,63,1st INNINGS,184,0,93,190,0,63,0,3,England,0,1st INNINGS,2,South Africa,0
Old,1905/06,Test # 88,South Africa,91,46.1,1st INNINGS,0,91,-93,0,287,0,46.1,3,England,0,1st INNINGS,1,South Africa,1
Old,1905/06,Test # 89,England,148,66.2,1st INNINGS,148,0,-129,160,0,66.2,0,3,England,0,1st INNINGS,2,South Africa,0
Old,1905/06,Test # 89,South Africa,277,100.2,1st INNINGS,0,277,129,0,33,0,100.2,3,England,0,1st INNINGS,1,South Africa,1
Old,1905/06,Test # 90,South Africa,385,118.3,1st INNINGS,385,0,90,349,0,118.3,0,5,South Africa,0,1st INNINGS,1,South Africa,1
Old,1905/06,Test # 90,England,295,101.2,1st INNINGS,0,295,-90,0,196,0,101.2,5,South Africa,0,1st INNINGS,2,South Africa,0
"Newlands,",1905/06,Test # 91,South Africa,218,97.3,1st INNINGS,218,0,20,138,0,97.3,0,4,South Africa,0,1st INNINGS,1,England,0
"Newlands,",1905/06,Test # 91,England,198,89.5,1st INNINGS,0,198,-20,0,160,0,89.5,4,South Africa,0,1st INNINGS,2,England,1
"Newlands,",1905/06,Test # 92,England,187,65.2,1st INNINGS,187,0,-146,130,0,65.2,0,4,England,0,1st INNINGS,2,South Africa,0
"Newlands,",1905/06,Test # 92,South Africa,333,110.4,1st INNINGS,0,333,146,0,0,0,110.4,4,England,0,1st INNINGS,1,South Africa,1
"Lord's,",1907,Test # 93,England,428,127.2,1st INNINGS,428,0,288,185,0,127.2,0,3,England,0,1st INNINGS,1,drawn,2
"Lord's,",1907,Test # 93,South Africa,140,65,1st INNINGS,0,140,-288,0,0,0,65,3,England,0,1st INNINGS,2,drawn,2
"Headingley,",1907,Test # 94,England,76,36.3,1st INNINGS,76,0,-34,162,0,36.3,0,3,England,0,1st INNINGS,1,England,1
"Headingley,",1907,Test # 94,South Africa,110,31.5,1st INNINGS,0,110,34,0,75,0,31.5,3,England,0,1st INNINGS,2,England,0
Kennington,1907,Test # 95,England,295,112,1st INNINGS,295,0,117,138,0,112,0,3,England,0,1st INNINGS,1,drawn,2
Kennington,1907,Test # 95,South Africa,178,63.3,1st INNINGS,0,178,-117,0,159,0,63.3,3,England,0,1st INNINGS,2,drawn,2
Sydney,1907/08,Test # 96,England,273,76.5,1st INNINGS,273,0,-27,300,0,76.5,0,7,England,0,1st INNINGS,2,Australia,0
